player_id,web_name,team,position,gw,horizon_index,was_home,opponent_team_id,fixture_difficulty,forecast_points
1,Raya,Arsenal,GKP,3,1,1,6,4.0,3.615
1,Raya,Arsenal,GKP,4,2,0,20,3.0,4.027
1,Raya,Arsenal,GKP,5,3,0,5,3.0,4.027
1,Raya,Arsenal,GKP,6,4,1,13,2.0,4.15
1,Raya,Arsenal,GKP,7,5,0,18,3.0,4.027
2,Arrizabalaga,Arsenal,GKP,3,1,1,6,4.0,0.822
2,Arrizabalaga,Arsenal,GKP,4,2,0,20,3.0,0.678
2,Arrizabalaga,Arsenal,GKP,5,3,0,5,3.0,0.678
2,Arrizabalaga,Arsenal,GKP,6,4,1,13,2.0,0.735
2,Arrizabalaga,Arsenal,GKP,7,5,0,18,3.0,0.678
3,Meslier,Arsenal,GKP,3,1,1,6,4.0,0.073
3,Meslier,Arsenal,GKP,4,2,0,20,3.0,0.003
3,Meslier,Arsenal,GKP,5,3,0,5,3.0,0.003
3,Meslier,Arsenal,GKP,6,4,1,13,2.0,0.016
3,Meslier,Arsenal,GKP,7,5,0,18,3.0,0.003
4,Gabriel,Arsenal,DEF,3,1,1,6,4.0,3.704
4,Gabriel,Arsenal,DEF,4,2,0,20,3.0,4.597
4,Gabriel,Arsenal,DEF,5,3,0,5,3.0,4.597
4,Gabriel,Arsenal,DEF,6,4,1,13,2.0,4.891
4,Gabriel,Arsenal,DEF,7,5,0,18,3.0,4.597
5,J.Timber,Arsenal,DEF,3,1,1,6,4.0,0.0
5,J.Timber,Arsenal,DEF,4,2,0,20,3.0,0.0
5,J.Timber,Arsenal,DEF,5,3,0,5,3.0,0.0
5,J.Timber,Arsenal,DEF,6,4,1,13,2.0,0.0
5,J.Timber,Arsenal,DEF,7,5,0,18,3.0,0.0
6,Saliba,Arsenal,DEF,3,1,1,6,4.0,0.0
6,Saliba,Arsenal,DEF,4,2,0,20,3.0,0.0
6,Saliba,Arsenal,DEF,5,3,0,5,3.0,0.0
6,Saliba,Arsenal,DEF,6,4,1,13,2.0,0.0
6,Saliba,Arsenal,DEF,7,5,0,18,3.0,0.0
7,Lewis-Skelly,Arsenal,MID,3,1,1,6,4.0,2.438
7,Lewis-Skelly,Arsenal,MID,4,2,0,20,3.0,3.176
7,Lewis-Skelly,Arsenal,MID,5,3,0,5,3.0,3.176
7,Lewis-Skelly,Arsenal,MID,6,4,1,13,2.0,3.003
7,Lewis-Skelly,Arsenal,MID,7,5,0,18,3.0,3.176
8,Calafiori,Arsenal,DEF,3,1,1,6,4.0,3.055
8,Calafiori,Arsenal,DEF,4,2,0,20,3.0,3.332
